qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000249,64,3,2221294514577953935,-14348000,-14272000,-14625068,0,0,0,1,2.763,
1000250,64,3,5256610358833561493,-14316000,-14256000,-14625068,0,0,0,1,2.485,
1000251,64,3,13544691166166279196,-14336000,-14270000,-14625068,0,0,0,1,2.343,
1000252,64,3,12461820268765347979,-14270000,-14196000,-14625068,0,0,0,1,2.358,
1000253,64,3,4064231709732984610,-14340000,-14254000,-14625068,0,0,0,1,2.324,
1000254,64,3,10686096754215585416,-14326000,-14244000,-14625068,0,0,0,1,2.312,
1000255,64,3,11350042620158312969,-14262000,-14206000,-14625068,0,0,0,1,2.238,
1000256,64,3,12451757226532448414,-14348000,-14266000,-14625068,0,0,0,1,2.47,
1000257,64,3,6831555677649242484,-14246000,-14176000,-14625068,0,0,0,1,2.36,
1000258,64,3,17827225364882744977,-14366000,-14304000,-14625068,0,0,0,1,2.374,
1000259,64,3,6425542568280092264,-14244000,-14176000,-14625068,0,0,0,1,2.486,
1000260,64,3,2698111941542163803,-14276000,-14210000,-14625068,0,0,0,1,2.342,
1000261,64,3,2004544141729128401,-14244000,-14172000,-14625068,0,0,0,1,2.313,
1000262,64,3,1988284899598950191,-14302000,-14222000,-14625068,0,0,0,1,2.326,
1000263,64,3,10088805744828889032,-14302000,-14240000,-14625068,0,0,0,1,2.249,
1000264,64,3,15353378458684725330,-14368000,-14304000,-14625068,0,0,0,1,2.426,
1000265,64,3,18061798694000498183,-14334000,-14244000,-14625068,0,0,0,1,2.411,
1000266,64,3,13812206460427205059,-14290000,-14240000,-14625068,0,0,0,1,2.346,
1000267,64,3,16845287574072487372,-14348000,-14288000,-14625068,0,0,0,1,2.287,
1000268,64,3,16858217945801134735,-14200000,-14108000,-14625068,0,0,0,1,2.346,
1000269,64,3,12458177691790817718,-14298000,-14234000,-14625068,0,0,0,1,2.309,
1000270,64,3,14778435117109662194,-14298000,-14192000,-14625068,0,0,0,1,2.289,
1000271,64,3,518048929555658487,-14334000,-14244000,-14625068,0,0,0,1,2.373,
1000272,64,3,5409431237691508668,-14288000,-14204000,-14625068,0,0,0,1,2.429,
1000273,64,3,3395460710226724650,-14334000,-14256000,-14625068,0,0,0,1,2.265,
1000274,64,3,6968427727947420216,-14342000,-14284000,-14625068,0,0,0,1,2.356,
1000275,64,3,10868521237356548292,-14388000,-14306000,-14625068,0,0,0,1,2.357,
1000276,64,3,7026466910855517191,-14274000,-14212000,-14625068,0,0,0,1,2.311,
1000277,64,3,4150322060099065160,-14248000,-14178000,-14625068,0,0,0,1,2.367,
1000278,64,3,14684548074220527751,-14360000,-14302000,-14625068,0,0,0,1,2.388,
1000279,64,3,7471103604673693215,-14454000,-14376000,-14625068,0,0,0,1,2.239,
1000280,64,3,8003276490645830254,-14304000,-14246000,-14625068,0,0,0,1,2.509,
1000281,64,3,17144141215360646200,-14316000,-14264000,-14625068,0,0,0,1,2.388,
1000282,64,3,3009578826317853831,-14384000,-14262000,-14625068,0,0,0,1,2.412,
1000283,64,3,5610679181204197922,-14292000,-14210000,-14625068,0,0,0,1,2.271,
1000284,64,3,16122599114540433223,-14322000,-14230000,-14625068,0,0,0,1,2.417,
1000285,64,3,14485282434620061858,-14438000,-14348000,-14625068,0,0,0,1,2.275,
1000286,64,3,999620433855790516,-14214000,-14148000,-14625068,0,0,0,1,2.348,
1000287,64,3,11021617290005352373,-14302000,-14246000,-14625068,0,0,0,1,2.354,
1000288,64,3,13508625713323449232,-14476000,-14388000,-14625068,0,0,0,1,2.403,
1000289,64,3,3063368946646614343,-14252000,-14212000,-14625068,0,0,0,1,2.231,
1000290,64,3,2256720334298908253,-14266000,-14210000,-14625068,0,0,0,1,2.402,
1000291,64,3,1075133625084702433,-14324000,-14254000,-14625068,0,0,0,1,2.396,
1000292,64,3,6353093113693167532,-14242000,-14164000,-14625068,0,0,0,1,2.335,
1000293,64,3,14939089953270381620,-14362000,-14270000,-14625068,0,0,0,1,2.348,
1000294,64,3,9715168551858789699,-14426000,-14354000,-14625068,0,0,0,1,2.428,
1000295,64,3,16806053223473564463,-14350000,-14274000,-14625068,0,0,0,1,2.253,
1000296,64,3,6140913166255110346,-14356000,-14302000,-14625068,0,0,0,1,2.311,
1000297,64,3,15758631229113114460,-14362000,-14274000,-14625068,0,0,0,1,2.499,
1000298,64,3,17090725514624757923,-14302000,-14226000,-14625068,0,0,0,1,2.249,
1000299,64,3,3684404218821516294,-14312000,-14256000,-14625068,0,0,0,1,2.355,
1000300,64,3,16584772907968756586,-14298000,-14228000,-14625068,0,0,0,1,2.377,
1000301,64,3,5461828677971345134,-14386000,-14306000,-14625068,0,0,0,1,2.275,
1000302,64,3,769127639633847191,-14336000,-14264000,-14625068,0,0,0,1,2.307,
1000303,64,3,17625896451606389332,-14262000,-14196000,-14625068,0,0,0,1,2.417,
1000304,64,3,1445190061630040429,-14332000,-14266000,-14625068,0,0,0,1,2.379,
1000305,64,3,15706041175642848215,-14276000,-14196000,-14625068,0,0,0,1,2.409,
1000306,64,3,4507599157771395469,-14272000,-14204000,-14625068,0,0,0,1,2.429,
1000307,64,3,12601320488177952648,-14328000,-14268000,-14625068,0,0,0,1,2.421,
1000308,64,3,7073585279038084104,-14428000,-14358000,-14625068,0,0,0,1,2.401,
1000309,64,3,6366524123117280731,-14384000,-14252000,-14625068,0,0,0,1,2.284,
1000310,64,3,18377086189311563820,-14276000,-14202000,-14625068,0,0,0,1,2.332,
1000311,64,3,7904819407822208243,-14288000,-14190000,-14625068,0,0,0,1,2.318,
1000312,64,3,15504069773477405714,-14270000,-14224000,-14625068,0,0,0,1,2.279,
1000313,64,3,6443831072382789004,-14326000,-14216000,-14625068,0,0,0,1,2.433,
1000314,64,3,6247212948554480773,-14342000,-14270000,-14625068,0,0,0,1,2.419,
1000315,64,3,672249575509451612,-14274000,-14204000,-14625068,0,0,0,1,2.348,
1000316,64,3,13095806768700347673,-14294000,-14244000,-14625068,0,0,0,1,2.321,
1000317,64,3,13428677181705484750,-14270000,-14216000,-14625068,0,0,0,1,2.344,
1000318,64,3,694996461864365671,-14354000,-14272000,-14625068,0,0,0,1,2.236,
1000319,64,3,15706147091152455870,-14324000,-14266000,-14625068,0,0,0,1,2.235,
1000320,64,3,9896566588238515482,-14344000,-14280000,-14625068,0,0,0,1,2.327,
1000321,64,3,4033778184524974265,-14308000,-14226000,-14625068,0,0,0,1,2.495,
1000322,64,3,9818351723165885960,-14274000,-14184000,-14625068,0,0,0,1,2.289,
1000323,64,3,12931693349665486818,-14306000,-14220000,-14625068,0,0,0,1,2.36,
1000324,64,3,11436812174552130444,-14340000,-14274000,-14625068,0,0,0,1,2.324,
1000325,64,3,3823884993080888107,-14388000,-14294000,-14625068,0,0,0,1,2.361,
1000326,64,3,12919249337499661165,-14336000,-14248000,-14625068,0,0,0,1,2.301,
1000327,64,3,100470538237748248,-14298000,-14244000,-14625068,0,0,0,1,2.273,
1000328,64,3,10733183922525273539,-14338000,-14266000,-14625068,0,0,0,1,2.454,
1000329,64,3,545304944835124479,-14262000,-14198000,-14625068,0,0,0,1,2.443,
1000330,64,3,17705493699521899128,-14278000,-14176000,-14625068,0,0,0,1,2.321,
1000331,64,3,8552036597701459866,-14242000,-14176000,-14625068,0,0,0,1,2.405,
1000332,64,3,6109029329203376798,-14366000,-14298000,-14625068,0,0,0,1,2.343,
1000333,64,3,17464921081300221576,-14288000,-14214000,-14625068,0,0,0,1,2.322,
1000334,64,3,5440219246957706164,-14314000,-14256000,-14625068,0,0,0,1,2.337,
1000335,64,3,6220042911847389972,-14348000,-14292000,-14625068,0,0,0,1,2.278,
1000336,64,3,12803363772286579378,-14298000,-14204000,-14625068,0,0,0,1,2.388,
1000337,64,3,17868834902746451288,-14266000,-14212000,-14625068,0,0,0,1,2.401,
1000338,64,3,17478802641793094450,-14344000,-14266000,-14625068,0,0,0,1,2.35,
1000339,64,3,16885346969274440309,-14300000,-14232000,-14625068,0,0,0,1,2.347,
1000340,64,3,12919792515114288234,-14270000,-14206000,-14625068,0,0,0,1,2.302,
1000341,64,3,13608030730488184412,-14306000,-14258000,-14625068,0,0,0,1,2.663,
1000342,64,3,17973693396966231545,-14292000,-14216000,-14625068,0,0,0,1,2.271,
1000343,64,3,1044617691912667429,-14256000,-14194000,-14625068,0,0,0,1,2.204,
1000344,64,3,18152689469543139137,-14320000,-14250000,-14625068,0,0,0,1,2.368,
1000345,64,3,4630143492412708301,-14266000,-14212000,-14625068,0,0,0,1,2.214,
1000346,64,3,9610636203732998344,-14270000,-14200000,-14625068,0,0,0,1,2.351,
1000347,64,3,10337374457909607785,-14276000,-14192000,-14625068,0,0,0,1,2.391,
1000348,64,3,5462259567054283270,-14252000,-14196000,-14625068,0,0,0,1,2.295,
1000349,64,3,4759357633094386899,-14302000,-14238000,-14625068,0,0,0,1,2.278,
1000350,64,3,13122484672818185514,-14384000,-14308000,-14625068,0,0,0,1,2.227,
1000351,64,3,10644786355615494018,-14412000,-14326000,-14625068,0,0,0,1,2.107,
1000352,64,3,16526968895324382587,-14324000,-14268000,-14625068,0,0,0,1,2.443,
1000353,64,3,18371621886563200661,-14338000,-14278000,-14625068,0,0,0,1,2.468,
1000354,64,3,10112437616739023931,-14332000,-14258000,-14625068,0,0,0,1,2.371,
1000355,64,3,14962564393491226372,-14376000,-14278000,-14625068,0,0,0,1,2.387,
1000356,64,3,16605238332151009147,-14310000,-14244000,-14625068,0,0,0,1,2.271,
1000357,64,3,10861365899895319859,-14352000,-14290000,-14625068,0,0,0,1,2.328,
1000358,64,3,6128867105546474240,-14354000,-14268000,-14625068,0,0,0,1,2.297,
1000359,64,3,18084732147709669059,-14344000,-14292000,-14625068,0,0,0,1,2.293,
1000360,64,3,12245677731828974873,-14388000,-14322000,-14625068,0,0,0,1,2.492,
