nonce,seed,best_256x65536,median_256x65536,below_256x65536
75,65dff70e1726d33a9b49c7f5a4292196c8c15da7e9d5978a4b08cc0b74824a19,-14538000,-14494000,0
76,33883ef2c0595ba8e399b81ef5dbf5c010f0bfa9edfdd8a6f08bf2f46e4480bc,-14532000,-14494000,0
77,1df718500f9a8529b3a100152154296a30ac545b052af41868099f03f3ca554c,-14544000,-14500000,0
78,bb6090557027b9f4ba0e40c0f139c4d627605af2d291adba273d6cf742fa8bc8,-14506000,-14462000,0
79,15dbb00b0cc1f2c2e3df355b1d2f13569c2c304e634b71f9c5ebbed6891a7de0,-14560000,-14508000,0
80,25c41e9e084d3b13ed50cd7158ca82ae0c517fba2767f459ae6ca259b4b02bb6,-14548000,-14518000,0
81,6475ee0850179af38e70d2bcfd4dd05cef37f852df5fe31e40dc2decb02d247c,-14540000,-14512000,0
82,80012105592a693e83235d985ef0c58604195da4b993984636621fa79abebea4,-14530000,-14496000,0
83,4e79c874330efd783c7a6edb47485ff4c8a991134f9cf5259bf8d3ad0a3fd29a,-14564000,-14514000,0
84,0d643e0b6391cd6785bb3ab985af83b3b28ff2b4bea9d83a2dc6942843e80d6c,-14560000,-14512000,0
85,8ffd5cb3fd676341b4c7dc8f5ce9adfd3b13727f5ec6aba8dd59d5ee7d738642,-14556000,-14514000,0
86,997ddacdd0e65f48228f294b4e5ec65cbc54408575d02b86157be2c28c43e5a9,-14552000,-14508000,0
87,4e19aacd427124f8fcde66dc9bf3ac17412c34716b64c2e65974e787f34aa983,-14536000,-14498000,0
88,2a245ca986976627e2d646da2d812d28cfa3058d26bf1bcd48bb9e4346fa3c9b,-14536000,-14498000,0
89,177d0efc78f96b5c2dc49149a3ec6bfde54c3cca76ddca743cad5f7b768e48b7,-14556000,-14516000,0
90,a57dbf8200b6676a1ecaed57b86ea94f0a5667c96b52a053265aad19d3aa7dbb,-14546000,-14516000,0
91,563cb1daa4959101ae8b9d0f6c759dba399be7b75d96f53e4fba9772f350e634,-14572000,-14522000,0
92,8e6b9f98097c1d95d976b7ac8ef5e1d5748e006e896536ea6892e1c9ba9c79ab,-14566000,-14500000,0
93,7d7066df5efac678dd03f17267d120d19ab61b4d1867148477675183181b2a08,-14564000,-14520000,0
94,ea9e0177054124895767fb4090fa73cd59a4fb7af9d591d15165ce888b235ea4,-14524000,-14482000,0
95,93669ffb7f3f54479e9c5f364ba922ae27c4094c9050c24a6f3eba2a6b5597f3,-14540000,-14504000,0
96,db3b97232e12f6066c83bd7b3b4bdaa66aa393148bfa6a52ac1e676f574b73d3,-14504000,-14464000,0
97,d218f146c53bea87638ee64f7c1069adbfbb68e89e6a1f270865f1123e9f2196,-14526000,-14486000,0
98,eb8913847164dd9e38b4b47ad3d783d650d34b412384c83af690bb0e7d2bbcc1,-14530000,-14486000,0
99,06e61438c01d00a04a8e093dcc291177d64f75498352efacc990dc9a473387cd,-14558000,-14514000,0
100,a712180d302c94f1426bd6ff6c5b6a671457f3b0a9f661babaf4d15c7dc2d0d7,-14566000,-14524000,0
101,45538791e0292495a32c5e8297bd77073ad8314fcc39ab7f0af5cacaf7d43732,-14554000,-14514000,0
102,10597d17003969dda2e763acd76f8da8ed88ec7602bba3efbcca46cd49c29a7d,-14564000,-14516000,0
103,592bb78b1df04d524fb39fdeeaad4556e9bf75259ab295edd68e01e6838cc0ac,-14564000,-14526000,0
104,3fa01cb709746f0abf76231ad570f8d9927f39a90cba21faeda91c82f84c1112,-14558000,-14510000,0
105,27524f64fe83013943a5912bc671be6ec9b6951ad2577dd2e40fdcb28140254d,-14546000,-14500000,0
106,20be856c2b2adb125c3d4fd6da2218812674cbffedd18f794e2bf1ee127a2497,-14552000,-14512000,0
107,59caa55e4f4051e98d373bbf8eba43f5a2023d0f415d7010279079c230085083,-14558000,-14510000,0
108,e6536b25cf1b2cf8c1bc0bf28f439ad2f8bb686f845bb44e8f94f9830a0ac47b,-14554000,-14516000,0
109,36b8384064a1e78cc6041c98119c59064fcd2ba62761280515291748b3b88c10,-14550000,-14510000,0
110,8fee93536c778e17928a3a07d91e19ad071bca1ccaef5bfbf1aef7a4201bb855,-14548000,-14512000,0
111,765f9aa46bb36f3048763af223ff6043a490c2547363f14c85bcd1a94f96af0f,-14552000,-14516000,0
112,e47130053828a76307e814e7fa0633561720ce0a6c17d93397597f16bbb525ef,-14540000,-14506000,0
113,a0fa7fa4e5d8eb9655ad37d5899d49e94f374210d9ab8f77e180c4f5cf887442,-14560000,-14514000,0
114,c5f605d47d41fe0168ecd8481b785778b0479fdadc123ee43f957306871a11a3,-14542000,-14496000,0
115,b0cf8321ffd24d752f249b8e289fc9eba7f984ee73ec507694797bc426420932,-14558000,-14516000,0
